Voltage (V),Current (A)
8.7588,2.18341e-05
8.7688,2.19123e-05
8.7788,2.20011e-05
8.7888,2.20952e-05
8.7988,2.21784e-05
8.8088,2.22605e-05
8.8188,2.23539e-05
8.8288,2.24456e-05
8.8388,2.25264e-05
8.8488,2.26131e-05
8.8589,2.27112e-05
8.8689,2.28004e-05
8.8789,2.28817e-05
8.8889,2.29728e-05
8.8989,2.30705e-05
8.9089,2.31569e-05
8.9189,2.32418e-05
8.9289,2.33382e-05
8.9389,2.3433e-05
8.9489,2.3517e-05
8.959,2.36074e-05
8.969,2.37078e-05
8.979,2.37999e-05
8.989,2.38847e-05
8.999,2.3979e-05
9.009,2.40793e-05
9.019,2.41686e-05
9.029,2.42569e-05
9.039,2.43568e-05
9.049,2.44508e-05
9.0591,2.45399e-05
9.0691,2.46399e-05
9.0791,2.47394e-05
9.0891,2.48277e-05
9.0991,2.49209e-05
9.1091,2.50249e-05
9.1191,2.5122e-05
9.1291,2.52102e-05
9.1391,2.5308e-05
9.1491,2.54125e-05
9.1592,2.55081e-05
9.1692,2.55992e-05
9.1792,2.57021e-05
9.1892,2.58053e-05
9.1992,2.58972e-05
9.2092,2.59933e-05
9.2192,2.61005e-05
9.2292,2.62016e-05
9.2392,2.62926e-05
9.2492,2.63934e-05
9.2593,2.65033e-05
9.2693,2.66011e-05
9.2793,2.66957e-05
9.2893,2.68018e-05
9.2993,2.69083e-05
9.3093,2.70035e-05
9.3193,2.71024e-05
9.3293,2.72133e-05
9.3393,2.73177e-05
9.3493,2.74121e-05
9.3594,2.75176e-05
9.3694,2.7629e-05
9.3794,2.77303e-05
9.3894,2.78282e-05
9.3994,2.79381e-05
9.4094,2.80478e-05
9.4194,2.81459e-05
9.4294,2.82485e-05
9.4394,2.83627e-05
9.4494,2.84699e-05
9.4595,2.85696e-05
9.4695,2.86822e-05
9.4795,2.87925e-05
9.4895,2.88921e-05
9.4995,2.89993e-05
9.5095,2.91115e-05
9.5195,2.92251e-05
9.5295,2.93274e-05
9.5395,2.94332e-05
9.5495,2.95509e-05
9.5596,2.96632e-05
9.5696,2.97651e-05
9.5796,2.98765e-05
9.5896,2.99956e-05
9.5996,3.01033e-05
9.6096,3.02086e-05
9.6196,3.03251e-05
9.6296,3.04423e-05
9.6396,3.05478e-05
9.6496,3.06581e-05
9.6597,3.07804e-05
9.6697,3.08949e-05
9.6797,3.10008e-05
9.6897,3.11157e-05
9.6997,3.12378e-05
9.7097,3.13502e-05
9.7197,3.14593e-05
9.7297,3.15798e-05
9.7397,3.17e-05
9.7497,3.18091e-05
9.7598,3.19244e-05
9.7698,3.20491e-05
9.7798,3.21672e-05
9.7898,3.22765e-05
9.7998,3.2396e-05
9.8098,3.25223e-05
9.8198,3.26379e-05
9.8298,3.27505e-05
9.8398,3.28749e-05
9.8498,3.29986e-05
9.8599,3.31136e-05
9.8699,3.32307e-05
9.8799,3.33596e-05
9.8899,3.3474e-05
9.8999,3.35945e-05
9.9099,3.37249e-05
9.9199,3.38459e-05
9.9299,3.39633e-05
9.9399,3.4083e-05
9.9499,3.42145e-05
9.96,3.43405e-05
9.97,3.44561e-05
9.98,3.45811e-05
9.99,3.47137e-05
10.0,3.48365e-05
-1e-05,6.36e-10
-0.01,-5.523e-09
-0.02,2.976e-09
-0.03,1.328e-09
-0.04,-5.73e-09
-0.0501,2.205e-09
-0.0601,1.59e-09
-0.0701,-5.951e-09
-0.0801,1.556e-09
-0.0901,1.76e-09
-0.1001,-6.332e-09
-0.1101,7.81e-10
-0.12011,1.827e-09
-0.1301,-6.779e-09
-0.1401,-2.2e-11
-0.1502,1.687e-09
-0.1602,-7.174e-09
-0.1702,-1.128e-09
-0.1802,1.601e-09
-0.1902,-7.479e-09
-0.2002,-2.206e-09
-0.2102,1.266e-09
-0.2202,-7.853e-09
-0.2302,-3.543e-09
-0.2402,8.84e-10
-0.2503,-8.297e-09
-0.2603,-4.78e-09
-0.2703,3.26e-10
-0.2803,-8.971e-09
-0.2903,-6.017e-09
-0.3003,-4.21e-10
-0.3103,-9.435e-09
-0.3203,-7.764e-09
-0.3303,-1.332e-09
-0.3403,-9.804e-09
-0.3504,-9.312e-09
-0.3604,-2.33e-09
-0.37041,-1.0407e-08
-0.3804,-1.0782e-08
-0.39041,-3.217e-09
-0.40041,-1.1026e-08
-0.4104,-1.2289e-08
-0.4204,-4.258e-09
-0.4304,-1.1731e-08
-0.4404,-1.3832e-08
-0.4505,-5.391e-09
-0.4605,-6.083e-09
-0.4705,-1.5462e-08
-0.4805,-1.1859e-08
-0.4905,-7.225e-09
-0.5005,-1.6713e-08
-0.5105,-1.388e-08
-0.5205,-8.595e-09
-0.5305,-1.7861e-08
-0.5405,-1.6174e-08
-0.5506,-1.0153e-08
-0.5606,-1.9163e-08
-0.5706,-1.828e-08
-0.5806,-1.1846e-08
-0.5906,-2.0488e-08
-0.6006,-2.0663e-08
-0.6106,-1.3511e-08
-0.6206,-2.16e-08
-0.6306,-2.3005e-08
-0.6406,-1.5279e-08
-0.6507,-2.308e-08
-0.6607,-2.5301e-08
-0.6707,-1.7161e-08
-0.68071,-2.4572e-08
-0.6907,-2.759e-08
-0.7007,-1.9343e-08
-0.71071,-2.6011e-08
-0.7207,-3.0064e-08
-0.7307,-2.1657e-08
-0.74071,-2.7585e-08
